id,SMILES
YMDB01377,C#CCO
YMDB01338,C1CCNCC1
YMDB01400,C1CSCN1
YMDB01685,C=C(C)C(=O)OCC
YMDB01329,C=C(C)C(=O)OCCCC
YMDB01648,C=C(C)C1CC=C(C)C(=O)C1
YMDB00200,C=C(C)CCOP(=O)(O)OP(=O)(O)O
YMDB00606,C=C(C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C)C(C)C
YMDB00716,C=C(CC(=O)O)C(=O)O
YMDB01488,C=C(CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)C1CC3)C(C)C
YMDB00545,C=C(CCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)CC1CC3)C(C)C
YMDB00605,C=C(CCC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C)C(C)C
YMDB00540,C=C(CCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C)C(C)C
YMDB00314,C=C(OC1C=C(C(=O)O)C=CC1N)C(=O)O
YMDB00148,C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O
YMDB00361,C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O
YMDB00276,C=C(OP(=O)(O)O)C(=O)O
YMDB01413,C=C1C=CCC(C)(C)C12CCC(C)O2
YMDB01753,C=CC(=C)CCC=C(C)C
YMDB01444,C=CC(=O)CCCCC
YMDB01746,C=CC(=O)OCC(C)C
YMDB01728,C=CC(C)(CCC=C(C)C)OC(C)=O
YMDB01714,C=CC(C)(O)CC=CC(=C)C
YMDB01611,C=CC(C)(O)CC=CC(C)(C)O
YMDB01599,C=CC(C)(O)CCC(O)C(=C)C
YMDB01371,C=CC(C)(O)CCC=C(C)C
YMDB01762,C=CC(C)=CCCC(C)(C)O
YMDB01352,C=CC(O)CCCCC
YMDB01678,C=CC1(C)CCC(C(C)(C)O)O1
YMDB00055,C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C